barangay,role,name,email,password,contact,action
Abuanan,Catchment Nurse (OIC),Rowena P. Magbanua,rowena.magbanua.abuanan@pulse-bago.demo,Pulse@AbuananCN26,09171000001,updated
Abuanan,Barangay Health Worker,Jocelyn S. Villanueva,jocelyn.villanueva.abuanan@pulse-bago.demo,Pulse@AbuananB126,09171000002,updated
Abuanan,Barangay Health Worker,Reynaldo T. Gatuslao,reynaldo.gatuslao.abuanan@pulse-bago.demo,Pulse@AbuananB226,09171000003,updated
Alianza,Catchment Nurse (OIC),Maricel A. Torres,maricel.torres.alianza@pulse-bago.demo,Pulse@AlianzaCN26,09171000004,updated
Alianza,Barangay Health Worker,Analyn B. Jalandoni,analyn.jalandoni.alianza@pulse-bago.demo,Pulse@AlianzaB126,09171000005,updated
Alianza,Barangay Health Worker,Ernesto C. Lizares,ernesto.lizares.alianza@pulse-bago.demo,Pulse@AlianzaB226,09171000006,updated
Atipuluan,Catchment Nurse (OIC),Cherry Mae D. Guanzon,cherrymae.guanzon.atipuluan@pulse-bago.demo,Pulse@AtipuluanCN26,09171000007,updated
Atipuluan,Barangay Health Worker,Fe H. Lacson,fe.lacson.atipuluan@pulse-bago.demo,Pulse@AtipuluanB126,09171000008,updated
Atipuluan,Barangay Health Worker,Joel M. Benedicto,joel.benedicto.atipuluan@pulse-bago.demo,Pulse@AtipuluanB226,09171000009,updated
Balingasag,Catchment Nurse (OIC),Liza R. Montinola,liza.montinola.balingasag@pulse-bago.demo,Pulse@BalingasagCN26,09171000010,updated
Balingasag,Barangay Health Worker,Rosario V. Yulo,rosario.yulo.balingasag@pulse-bago.demo,Pulse@BalingasagB126,09171000011,updated
Balingasag,Barangay Health Worker,Armando K. Henares,armando.henares.balingasag@pulse-bago.demo,Pulse@BalingasagB226,09171000012,updated
Binubuhan,Catchment Nurse (OIC),Angelica N. Locsin,angelica.locsin.binubuhan@pulse-bago.demo,Pulse@BinubuhanCN26,09171000013,updated
Binubuhan,Barangay Health Worker,Carmen L. Araneta,carmen.araneta.binubuhan@pulse-bago.demo,Pulse@BinubuhanB126,09171000014,updated
Binubuhan,Barangay Health Worker,Nestor P. Treyes,nestor.treyes.binubuhan@pulse-bago.demo,Pulse@BinubuhanB226,09171000015,updated
Busay,Catchment Nurse (OIC),Katrina S. Puentevella,katrina.puentevella.busay@pulse-bago.demo,Pulse@BusayCN26,09171000016,updated
Busay,Barangay Health Worker,Gloria F. Zayco,gloria.zayco.busay@pulse-bago.demo,Pulse@BusayB126,09171000017,updated
Busay,Barangay Health Worker,Ramon D. Miraflores,ramon.miraflores.busay@pulse-bago.demo,Pulse@BusayB226,09171000018,updated
Calumangan,Catchment Nurse (OIC),Patricia G. Ledesma,patricia.ledesma.calumangan@pulse-bago.demo,Pulse@CalumanganCN26,09171000019,updated
Calumangan,Barangay Health Worker,Helen J. Villanueva,helen.villanueva.calumangan@pulse-bago.demo,Pulse@CalumanganB126,09171000020,updated
